#,Country,Body,Screen,Battery,Accessories,Price,Key
284,Local,GradeB,GradeC,80%,CableBox,740,Local_GradeB_GradeC_80%_CableBox
285,Export,GradeC,GradeC,86-90%,Box,740,Export_GradeC_GradeC_86-90%_Box
286,Export,GradeA,GradeC,80%,None,739,Export_GradeA_GradeC_80%_None
287,Local,GradeA,Defective,81-85%,None,738,Local_GradeA_Defective_81-85%_None
288,Local,GradeC,GradeC,81-85%,CableBox,738,Local_GradeC_GradeC_81-85%_CableBox
289,Local,GradeC,GradeB,80%,Cable,737,Local_GradeC_GradeB_80%_Cable
290,Export,Defective,GradeA,86-90%,Cable,737,Export_Defective_GradeA_86-90%_Cable
291,Export,GradeC,GradeC,86-90%,Cable,735,Export_GradeC_GradeC_86-90%_Cable
292,Export,Defective,GradeB,91-100%,CableBox,735,Export_Defective_GradeB_91-100%_CableBox
293,Export,GradeB,GradeB,80%,Box,734,Export_GradeB_GradeB_80%_Box
294,Local,GradeA,Defective,80%,CableBox,732,Local_GradeA_Defective_80%_CableBox
295,Export,GradeC,GradeB,81-85%,Box,732,Export_GradeC_GradeB_81-85%_Box
296,Export,GradeA,Defective,86-90%,None,731,Export_GradeA_Defective_86-90%_None
297,Local,GradeB,Defective,91-100%,None,730,Local_GradeB_Defective_91-100%_None
298,Local,Defective,GradeA,81-85%,Box,730,Local_Defective_GradeA_81-85%_Box
299,Local,Defective,GradeB,91-100%,None,730,Local_Defective_GradeB_91-100%_None
